urba_club_id,nombre_institucion,nombre_equipo,sufijo,categoria,divisiones,anios,veces,g22_club_id,g22_nombre,g22_union,estado,confianza
74,Almafuerte,Almafuerte,,intermedia,Desarrollo - Intermedia | Desarrollo - Intermedia - Clasificación | Desarrollo - Intermedia - Torneo final A | TERCERA - Intermedia | Tercera - Intermedia,2021 2022 2023 2024 2025 2026,7,,,,club_no_existe,ninguna
12,Alumni,Alumni,,intermedia,TOP 12 - Intermedia | TOP 14 - Intermedia | Top 12 - Intermedia | Top 12 - Intermedia - Clasificación | Top 12 - Intermedia - Zona B - Segunda Rueda | Top 13 - Intermedia - Clasificación,2021 2022 2023 2024 2025 2026,7,asoc-alumni,Asoc. Alumni,urba,existe,exacto
46,Areco,Areco,,intermedia,PRIMERA C - Intermedia | Primera C - Intermedia,2021 2022 2023 2024 2025 2026,6,club-areco,Club Areco,urba,existe,exacto
53,Argentino,Argentino,,intermedia,PRIMERA B - Intermedia | Primera B - Intermedia | Primera C - Intermedia | Segunda - Intermedia,2022 2023 2024 2025 2026,5,argentino-r-c,Argentino R.C.,urba,existe,exacto
67,Arsenal Zarate,Arsenal Zarate,,intermedia,Segunda - Intermedia | TERCERA - Intermedia | Tercera - Intermedia,2021 2022 2023 2024 2025 2026,6,,,,club_no_existe,ninguna
60,Atletico Chascomus,Atletico Chascomus,,intermedia,SEGUNDA - Intermedia | Segunda - Intermedia,2022 2023 2024 2025 2026,5,,,,club_no_existe,ninguna
10,Atlético del Rosario,Atletico del Rosario,,intermedia,Primera A - Intermedia | TOP 12 - Intermedia | TOP 14 - Intermedia | Top 12 - Intermedia | Top 13 - Intermedia - Clasificación,2022 2023 2024 2025 2026,5,atletico-del-rosario,Atlético del Rosario,urba,existe,exacto
75,Atletico San Andres,Atletico San Andres,,intermedia,DESARROLLO - Intermedia | Desarrollo - Intermedia | Tercera - Intermedia,2021 2022 2023 2024 2025 2026,6,san-andres,San Andrés,urba,ambiguo,parcial
63,Atletico y Progreso,Atletico y Progreso,,intermedia,Primera C - Intermedia | SEGUNDA - Intermedia | Segunda - Intermedia,2021 2022 2023 2024 2025 2026,6,,,,club_no_existe,ninguna
80,Banco Hipotecario,Banco Hipotecario,,intermedia,TERCERA - Intermedia | Tercera - Intermedia,2021 2022 2023 2024 2025 2026,6,,,,club_no_existe,ninguna
40,Banco Nacion,Banco Nacion,,intermedia,PRIMERA B - Intermedia | Primera A - Intermedia | Primera B - Intermedia,2022 2023 2024 2025 2026,5,banco-nacion,Banco Nación,urba,existe,exacto
7,Belgrano Athletic,Belgrano Athletic,,intermedia,TOP 12 - Intermedia | TOP 14 - Intermedia | Top 12 - Intermedia | Top 12 - Intermedia - Clasificación | Top 12 - Intermedia - Zona A - Segunda Rueda | Top 13 - Intermedia - Clasificación,2021 2022 2023 2024 2025 2026,7,belgrano-athletic,Belgrano Athletic,urba,existe,exacto
89,Berisso,Berisso Rugby Club,,intermedia,Desarrollo - Intermedia | Desarrollo - Intermedia - Clasificación | Desarrollo - Intermedia - Torneo final B | TERCERA - Intermedia | Tercera - Intermedia,2022 2023 2024 2025 2026,6,,,,club_no_existe,ninguna
71,Beromama,Beromama,,intermedia,TERCERA - Intermedia | Tercera - Intermedia,2021 2022 2023 2024 2025 2026,6,,,,club_no_existe,ninguna
8,Buenos Aires CRC,Buenos Aires CRC,,intermedia,TOP 12 - Intermedia | TOP 14 - Intermedia | Top 12 - Intermedia | Top 12 - Intermedia - Clasificación | Top 12 - Intermedia - Zona A - Segunda Rueda | Top 13 - Intermedia - Clasificación,2021 2022 2023 2024 2025 2026,7,buenos-aires-crc,Buenos Aires CRC,urba,existe,exacto
27,C.U. de Quilmes,C.U. de Quilmes,,intermedia,PRIMERA B - Intermedia | Primera B - Intermedia | Primera C - Intermedia,2021 2022 2023 2024 2025 2026,6,cuq,CUQ,urba,existe,exacto
49,CASA de Padua,CASA de Padua,,intermedia,PRIMERA C - Intermedia | Primera C - Intermedia,2021 2022 2023 2024 2025 2026,6,casa-de-padua,CASA de Padua,urba,existe,exacto
3,CASI,CASI,,intermedia,TOP 12 - Intermedia | TOP 14 - Intermedia | Top 12 - Intermedia | Top 12 - Intermedia - Clasificación | Top 12 - Intermedia - Zona A - Segunda Rueda | Top 13 - Intermedia - Clasificación,2021 2022 2023 2024 2025 2026,7,casi,CASI,urba,existe,exacto
