prioridad,tipo,urba_club_id,nombre,categoria,sufijo,union_id,sport,logo_url,id_sugerido,institucion_padre_urba_id,anios,veces,motivo
1,institucion,77,Vicente Lopez,"","",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/vicentelopez.png,vicente-lopez,,2021 2022 2023 2024 2025 2026,36,no existe en el padrón
2,equipo_juvenil,12,"Asoc. Alumni M15 ""A""",M15,A,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m15-a,12,2021 2022 2023 2024 2025 2026,10,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M15 ""B""",M15,B,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m15-b,12,2021 2022 2023 2024 2025 2026,10,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M15 ""C""",M15,C,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m15-c,12,2025 2026,3,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M15 ""D""",M15,D,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m15-d,12,2025,1,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M16 ""A""",M16,A,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m16-a,12,2021 2022 2023 2024 2025 2026,11,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M16 ""B""",M16,B,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m16-b,12,2021 2022 2023 2024 2025 2026,10,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M16 ""C""",M16,C,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m16-c,12,2021 2024 2025 2026,6,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M16 ""D""",M16,D,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m16-d,12,2026,1,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M17 ""C""",M17,C,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m17-c,12,2022 2025 2026,5,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M18 ""A""",M18,A,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m18-a,12,2021,2,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M18 ""B""",M18,B,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m18-b,12,2021,2,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M19 ""C""",M19,C,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m19-c,12,2022 2023 2024 2025 2026,10,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M19 ""D""",M19,D,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m19-d,12,2023 2024 2025 2026,8,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,"Asoc. Alumni M19 ""E""",M19,E,urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m19-e,12,2024 2026,3,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,Asoc. Alumni M20,M20,"",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m20,12,2021,2,la institución existe; el equipo juvenil no
2,equipo_juvenil,12,Asoc. Alumni M22,M22,"",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/alumni.png,asoc-alumni-m22,12,2024 2025 2026,3,la institución existe; el equipo juvenil no
2,equipo_juvenil,46,Club Areco M15,M15,"",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/areco.png,club-areco-m15,46,2021 2022 2023 2024 2025 2026,10,la institución existe; el equipo juvenil no
2,equipo_juvenil,46,Club Areco M16,M16,"",urba,rugby,https://urbaimagenes-cddyfadwc8dqcchn.z03.azurefd.net/img/clubs/areco.png,club-areco-m16,46,2021 2022 2023 2024 2025 2026,11,la institución existe; el equipo juvenil no
