urba_id,external_id,nombre,anio,division,grado,age_grade,gender,rueda,equipos,partidos,partidos_jugados,has_playoffs,g22_tournament_id,g22_nombre,g22_external_id_otro_proveedor,estado,confianza
2022010,urba:2022010,Empresarial - Desarrollo,2022,Empresarial,,mayores,masculino,unica,13,77,77,no,,,,sin_verificar,sin_verificar
2022011,urba:2022011,Femenino - Campeonato 12 - Clasificación,2022,Femenino,,mayores,femenino,unica,6,30,30,no,,,,sin_verificar,sin_verificar
2022012,urba:2022012,Femenino - Campeonato 12 - Revancha,2022,Femenino,,mayores,femenino,unica,6,15,15,no,,,,sin_verificar,sin_verificar
2022013,urba:2022013,Femenino - Seven - Clasificación,2022,Femenino,,mayores,femenino,unica,8,56,56,no,,,,sin_verificar,sin_verificar
2022014,urba:2022014,Femenino - Seven - Revancha A,2022,Femenino,,mayores,femenino,unica,4,6,6,no,,,,sin_verificar,sin_verificar
2022015,urba:2022015,Femenino - Seven - Revancha B,2022,Femenino,,mayores,femenino,unica,4,6,6,no,,,,sin_verificar,sin_verificar
2022016,urba:2022016,Femenino - Ten,2022,Femenino,,mayores,femenino,unica,10,90,90,no,,,,sin_verificar,sin_verificar
2022017,urba:2022017,Menores de 15 - Grupo 1 - Formativa - Segunda Rueda,2022,Formativo,juvenil,M15,masculino,segunda,14,77,77,no,,,,sin_verificar,sin_verificar
2022018,urba:2022018,Menores de 15 - Grupo 1 - Formativa A,2022,Formativo,juvenil,M15,masculino,unica,13,64,64,no,,,,sin_verificar,sin_verificar
2022019,urba:2022019,Menores de 15 - Grupo 1 - Zona A - Primera Rueda,2022,otro,juvenil,M15,masculino,primera,12,66,66,no,,,,sin_verificar,sin_verificar
