provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,123|formativo|,municipalidad-de-avellaneda,123,formativo,"",exacto,institucion,1,Municipalidad de Avellaneda,Municipalidad de Avellaneda,2024 2025 2026,4
urba,91|femenino|,municipalidad-de-berazategui,91,femenino,"",exacto,institucion,1,Municipalidad de Berazategui,Municipalidad De Berazategui,2021 2022 2025 2026,5
urba,91|intermedia|,municipalidad-de-berazategui,91,intermedia,"",exacto,institucion,1,Municipalidad de Berazategui,Municipalidad De Berazategui,2021 2022 2023 2024 2025 2026,7
urba,91|mayores|,municipalidad-de-berazategui,91,mayores,"",exacto,institucion,1,Municipalidad de Berazategui,Municipalidad De Berazategui,2021 2022 2023 2024 2025 2026,7
urba,119|empresarial|,municipalidad-de-moreno,119,empresarial,"",exacto,institucion,1,Municipalidad de Moreno,Municipalidad de Moreno,2023,2
urba,119|formativo|,municipalidad-de-moreno,119,formativo,"",exacto,institucion,1,Municipalidad de Moreno,Municipalidad de Moreno,2024 2025,4
urba,93|femenino|,municipio-de-avellaneda,93,femenino,"",exacto,institucion,1,Municipio de Avellaneda,Munic. de Avellaneda,2024,1
urba,93|formativo|,municipio-de-avellaneda,93,formativo,"",exacto,institucion,1,Municipio de Avellaneda,Municipalidad de Avellaneda,2025,1
urba,120|formativo|,new-lions-r-c,120,formativo,"",exacto,institucion,1,New Lions R.C.,New Lions R.C.,2024 2025 2026,5
urba,90|intermedia|,obras-sanitarias,90,intermedia,"",exacto,institucion,1,Obras Sanitarias,Obras Sanitarias,2021 2022 2023 2024 2025 2026,7
urba,90|mayores|,obras-sanitarias,90,mayores,"",exacto,institucion,1,Obras Sanitarias,Obras Sanitarias,2021 2022 2023 2024 2025 2026,7
urba,128|formativo|,old-bankers,128,formativo,"",exacto,institucion,1,Old Bankers,Old Bankers,2025 2026,3
urba,66|intermedia|,old-georgian,66,intermedia,"",exacto,institucion,1,Old Georgian,Old Georgian,2021 2022 2023 2024 2025 2026,6
urba,66|mayores|,old-georgian,66,mayores,"",exacto,institucion,1,Old Georgian,Old Georgian,2021 2022 2023 2024 2025 2026,6
urba,66|preintermedia|,old-georgian,66,preintermedia,"",exacto,institucion,1,Old Georgian,Old Georgian,2022,1
urba,209|empresarial|,omar-etcheverry,209,empresarial,"",exacto,institucion,1,Omar Etcheverry,Omar Etcheverry,2021 2022 2023,4
urba,209|empresarial|B,omar-etcheverry,209,empresarial,B,exacto,institucion,1,Omar Etcheverry,Omar Etcheverry B,2023,1
urba,85|femenino|,pac-general-rodriguez,85,femenino,"",exacto,institucion,1,Pac General Rodriguez,Pac. General Rodriguez,2026,1
urba,85|intermedia|,pac-general-rodriguez,85,intermedia,"",exacto,institucion,1,Pac General Rodriguez,Pac General Rodriguez,2021 2022 2023 2024 2025 2026,7
urba,85|mayores|,pac-general-rodriguez,85,mayores,"",exacto,institucion,1,Pac General Rodriguez,Pac General Rodriguez,2021 2022 2023 2024 2025 2026,7
urba,210|empresarial|,pacific-shark,210,empresarial,"",exacto,institucion,1,Pacific Shark,Pacific Shark,2021 2022 2023,5
urba,211|empresarial|,policia-de-la-ciudad,211,empresarial,"",exacto,institucion,1,Policia de la Ciudad,Policia de la Ciudad,2021 2022 2023,3
urba,211|formativo|,policia-de-la-ciudad,211,formativo,"",exacto,institucion,1,Policia de la Ciudad,Policía de la Ciudad,2026,1
urba,134|formativo|,policias-de-la-ciudad,134,formativo,"",exacto,institucion,1,Policias de la Ciudad,Policias de la Ciudad,2025,2
urba,70|femenino|,porteno,70,femenino,"",exacto,institucion,1,Porteño,Porteño,2021 2022 2023 2024 2025,8
urba,70|intermedia|,porteno,70,intermedia,"",exacto,institucion,1,Porteño,Porteño,2021 2022 2023 2024 2025 2026,6
urba,70|mayores|,porteno,70,mayores,"",exacto,institucion,1,Porteño,Porteño,2021 2022 2023 2024 2025 2026,6
